Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Module,Target_Module
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,moveMouse,getOffset,function,function,Call,141.0,True,8963,2035,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,moveMouse,getXStart,function,function,Call,141.0,True,8963,2039,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,moveMouse,getYStart,function,function,Call,141.0,True,8963,2041,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getDimensionLineAngle,getLength,function,function,Call,141.0,True,8865,2033,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getDimensionLineAngle,getYStart,function,function,Call,141.0,True,8865,2041,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getDimensionLineAngle,getYEnd,function,function,Call,141.0,True,8865,2040,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getDimensionLineAngle,getXEnd,function,function,Call,141.0,True,8865,2038,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getDimensionLineAngle,getXStart,function,function,Call,141.0,True,8865,2039,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,enter,getOffset,function,function,Call,141.0,True,8859,2035,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,enter,getYEnd,function,function,Call,141.0,True,8859,2040,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,enter,getYStart,function,function,Call,141.0,True,8859,2041,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,enter,getXEnd,function,function,Call,141.0,True,8859,2038,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,enter,getXStart,function,function,Call,141.0,True,8859,2039,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,moveMouse,getXStart,function,function,Call,141.0,True,8963,2039,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,moveMouse,getYStart,function,function,Call,141.0,True,8963,2041,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,moveMouse,getXEnd,function,function,Call,141.0,True,8963,2038,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,moveMouse,getYEnd,function,function,Call,141.0,True,8963,2040,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,moveMouse,setOffset,function,function,Call,141.0,True,8963,2048,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,escape,setOffset,function,function,Call,141.0,True,8860,2048,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,,DimensionLine,file,type,Import,1.0,False,,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,createDimensionLine,DimensionLine,function,type,Return,4.0,True,8833,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getResizedDimensionLineStartAt,DimensionLine,function,type,Return,4.0,True,8898,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getResizedDimensionLineEndAt,DimensionLine,function,type,Return,4.0,True,8897,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getOffsetDimensionLineAt,DimensionLine,function,type,Return,4.0,True,8884,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,toggleBoldStyle,DimensionLine,function,type,Use,18.0,True,9014,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,toggleItalicStyle,DimensionLine,function,type,Use,18.0,True,9015,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,doModifyTextStyle,DimensionLine,function,type,Use,18.0,True,8854,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,dimensionLines,DimensionLine,var,type,Use,18.0,True,9144,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,deletedDimensionLines,DimensionLine,var,type,Use,18.0,True,9117,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,moveMouse,DimensionLine,function,type,Use,18.0,True,8963,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,enter,DimensionLine,function,type,Use,18.0,True,8859,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,moveMouse,DimensionLine,function,type,Use,18.0,True,8963,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,setEditionActivated,DimensionLine,function,type,Use,18.0,True,9004,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,updateEditableProperty,DimensionLine,function,type,Use,18.0,True,9019,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,enter,DimensionLine,function,type,Use,18.0,True,8859,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,moveMouse,DimensionLine,function,type,Use,18.0,True,8963,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,enter,DimensionLine,function,type,Use,18.0,True,8859,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getDimensionLinesAlongWall,DimensionLine,function,type,Create,12.0,True,8870,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,createDimensionLine,DimensionLine,function,type,Create,12.0,True,8833,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,postDeleteItems,DimensionLine,function,type,Create,12.0,True,8974,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,postCreateDimensionLines,DimensionLine,function,type,Create,12.0,True,8970,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,undo,DimensionLine,function,type,Create,12.0,True,9017,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,redo,DimensionLine,function,type,Create,12.0,True,8993,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,undo,DimensionLine,function,type,Create,12.0,True,9017,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,redo,DimensionLine,function,type,Create,12.0,True,8993,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,validateDrawnDimensionLine,DimensionLine,function,type,Create,12.0,True,9024,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,dimensionLines,DimensionLine,var,type,Parameter,8.0,True,9144,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,deletedDimensionLines,DimensionLine,var,type,Parameter,8.0,True,9117,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,moveDimensionLinePoint,DimensionLine,function,type,Parameter,8.0,True,8961,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,reverseDimensionLine,DimensionLine,function,type,Parameter,8.0,True,8996,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,doAddDimensionLines,DimensionLine,function,type,Parameter,8.0,True,8845,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,doDeleteDimensionLines,DimensionLine,function,type,Parameter,8.0,True,8849,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,postDimensionLineResize,DimensionLine,function,type,Parameter,8.0,True,8976,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,postDimensionLineOffset,DimensionLine,function,type,Parameter,8.0,True,8975,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,toggleBoldStyle,DimensionLine,function,type,Contain,17.0,True,9014,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,toggleItalicStyle,DimensionLine,function,type,Contain,17.0,True,9015,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,applyFactorToTextSize,DimensionLine,function,type,Contain,17.0,True,8829,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,createDimensionLine,DimensionLine,function,type,Contain,17.0,True,8833,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getResizedDimensionLineStartAt,DimensionLine,function,type,Contain,17.0,True,8898,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getResizedDimensionLineEndAt,DimensionLine,function,type,Contain,17.0,True,8897,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getOffsetDimensionLineAt,DimensionLine,function,type,Contain,17.0,True,8884,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,getSelectableItemsAt,DimensionLine,function,type,Contain,17.0,True,8915,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,postDeleteItems,DimensionLine,function,type,Contain,17.0,True,8974,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,addDimensionLines,DimensionLine,function,type,Contain,17.0,True,8820,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,postCreateDimensionLines,DimensionLine,function,type,Contain,17.0,True,8970,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,doAddDimensionLines,DimensionLine,function,type,Contain,17.0,True,8845,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,doDeleteDimensionLines,DimensionLine,function,type,Contain,17.0,True,8849,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,DimensionLineDrawingState,DimensionLine,type,type,Contain,17.0,True,9038,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,DimensionLineResizeState,DimensionLine,type,type,Contain,17.0,True,9040,2053,sweetHome3DViewController,sweetHome3DModel
153,44,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/DimensionLine.java,DimensionLineOffsetState,DimensionLine,type,type,Contain,17.0,True,9039,2053,sweetHome3DViewController,sweetHome3DModel
153,41,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/CollectionEvent.java,collectionChanged,getType,function,function,Call,4.0,True,8830,2013,sweetHome3DViewController,sweetHome3DModel
153,41,src/com/eteks/sweethome3d/viewcontroller/PlanController.java,src/com/eteks/sweethome3d/model/CollectionEvent.java,collectionChanged,getItem,function,function,Call,4.0,True,8830,2012,sweetHome3DViewController,sweetHome3DModel
